,Symbol,Security,GICS Sector
291,LYV,Live Nation Entertainment,Communication Services
292,LKQ,LKQ Corporation,Consumer Discretionary
293,LMT,Lockheed Martin,Industrials
294,L,Loews Corporation,Financials
295,LOW,Lowe's,Consumer Discretionary
296,LULU,Lululemon Athletica,Consumer Discretionary
297,LYB,LyondellBasell,Materials
298,MTB,M&T Bank,Financials
299,MPC,Marathon Petroleum,Energy
300,MKTX,MarketAxess,Financials
301,MAR,Marriott International,Consumer Discretionary
302,MMC,Marsh McLennan,Financials
303,MLM,Martin Marietta Materials,Materials
304,MAS,Masco,Industrials
305,MA,Mastercard,Financials
306,MTCH,Match Group,Communication Services
307,MKC,McCormick & Company,Consumer Staples
308,MCD,McDonald's,Consumer Discretionary
309,MCK,McKesson Corporation,Health Care
310,MDT,Medtronic,Health Care
311,MRK,Merck & Co.,Health Care
312,META,Meta Platforms,Communication Services
313,MET,MetLife,Financials
314,MTD,Mettler Toledo,Health Care
315,MGM,MGM Resorts,Consumer Discretionary
316,MCHP,Microchip Technology,Information Technology
317,MU,Micron Technology,Information Technology
318,MSFT,Microsoft,Information Technology
319,MAA,Mid-America Apartment Communities,Real Estate
320,MRNA,Moderna,Health Care
321,MHK,Mohawk Industries,Consumer Discretionary
322,MOH,Molina Healthcare,Health Care
323,TAP,Molson Coors Beverage Company,Consumer Staples
324,MDLZ,Mondelez International,Consumer Staples
325,MPWR,Monolithic Power Systems,Information Technology
326,MNST,Monster Beverage,Consumer Staples
327,MCO,Moody's Corporation,Financials
328,MS,Morgan Stanley,Financials
329,MOS,Mosaic Company (The),Materials
330,MSI,Motorola Solutions,Information Technology
331,MSCI,MSCI,Financials
332,NDAQ,"Nasdaq, Inc.",Financials
333,NTAP,NetApp,Information Technology
334,NFLX,Netflix,Communication Services
335,NEM,Newmont,Materials
336,NWSA,News Corp (Class A),Communication Services
337,NWS,News Corp (Class B),Communication Services
338,NEE,NextEra Energy,Utilities
339,NKE,"Nike, Inc.",Consumer Discretionary
340,NI,NiSource,Utilities
341,NDSN,Nordson Corporation,Industrials
342,NSC,Norfolk Southern Railway,Industrials
343,NTRS,Northern Trust,Financials
344,NOC,Northrop Grumman,Industrials
345,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
346,NRG,NRG Energy,Utilities
347,NUE,Nucor,Materials
348,NVDA,Nvidia,Information Technology
349,NVR,"NVR, Inc.",Consumer Discretionary
350,NXPI,NXP Semiconductors,Information Technology
351,ORLY,O'Reilly Auto Parts,Consumer Discretionary
352,OXY,Occidental Petroleum,Energy
353,ODFL,Old Dominion,Industrials
354,OMC,Omnicom Group,Communication Services
355,ON,ON Semiconductor,Information Technology
356,OKE,ONEOK,Energy
357,ORCL,Oracle Corporation,Information Technology
358,OTIS,Otis Worldwide,Industrials
359,PCAR,Paccar,Industrials
360,PKG,Packaging Corporation of America,Materials
361,PLTR,Palantir Technologies,Information Technology
362,PANW,Palo Alto Networks,Information Technology
363,PARA,Paramount Global,Communication Services
364,PH,Parker Hannifin,Industrials
365,PAYX,Paychex,Industrials
366,PAYC,Paycom,Industrials
367,PYPL,PayPal,Financials
368,PNR,Pentair,Industrials
369,PEP,PepsiCo,Consumer Staples
370,PFE,Pfizer,Health Care
371,PCG,PG&E Corporation,Utilities
372,PM,Philip Morris International,Consumer Staples
373,PSX,Phillips 66,Energy
374,PNW,Pinnacle West,Utilities
375,PNC,PNC Financial Services,Financials
376,POOL,Pool Corporation,Consumer Discretionary
377,PPG,PPG Industries,Materials
378,PPL,PPL Corporation,Utilities
379,PFG,Principal Financial Group,Financials
380,PG,Procter & Gamble,Consumer Staples
381,PGR,Progressive Corporation,Financials
382,PLD,Prologis,Real Estate
383,PRU,Prudential Financial,Financials
384,PEG,Public Service Enterprise Group,Utilities
385,PTC,PTC Inc.,Information Technology
386,PSA,Public Storage,Real Estate
387,PHM,PulteGroup,Consumer Discretionary
388,PWR,Quanta Services,Industrials
389,QCOM,Qualcomm,Information Technology
390,DGX,Quest Diagnostics,Health Care
391,RL,Ralph Lauren Corporation,Consumer Discretionary
392,RJF,Raymond James Financial,Financials
393,RTX,RTX Corporation,Industrials
394,O,Realty Income,Real Estate
395,REG,Regency Centers,Real Estate
396,REGN,Regeneron Pharmaceuticals,Health Care
397,RF,Regions Financial Corporation,Financials
398,RSG,Republic Services,Industrials
399,RMD,ResMed,Health Care
400,RVTY,Revvity,Health Care
401,ROK,Rockwell Automation,Industrials
402,ROL,"Rollins, Inc.",Industrials
403,ROP,Roper Technologies,Information Technology
404,ROST,Ross Stores,Consumer Discretionary
405,RCL,Royal Caribbean Group,Consumer Discretionary
406,SPGI,S&P Global,Financials
407,CRM,Salesforce,Information Technology
408,SBAC,SBA Communications,Real Estate
409,SLB,Schlumberger,Energy
410,STX,Seagate Technology,Information Technology
411,SRE,Sempra,Utilities
412,NOW,ServiceNow,Information Technology
413,SHW,Sherwin-Williams,Materials
414,SPG,Simon Property Group,Real Estate
415,SWKS,Skyworks Solutions,Information Technology
416,SJM,J.M. Smucker Company (The),Consumer Staples
417,SW,Smurfit WestRock,Materials
418,SNA,Snap-on,Industrials
419,SOLV,Solventum,Health Care
420,SO,Southern Company,Utilities
421,LUV,Southwest Airlines,Industrials
422,SWK,Stanley Black & Decker,Industrials
423,SBUX,Starbucks,Consumer Discretionary
424,STT,State Street Corporation,Financials
425,STLD,Steel Dynamics,Materials
426,STE,Steris,Health Care
427,SYK,Stryker Corporation,Health Care
428,SMCI,Supermicro,Information Technology
429,SYF,Synchrony Financial,Financials
430,SNPS,Synopsys,Information Technology
431,SYY,Sysco,Consumer Staples
432,TMUS,T-Mobile US,Communication Services
433,TROW,T. Rowe Price,Financials
434,TTWO,Take-Two Interactive,Communication Services
435,TPR,"Tapestry, Inc.",Consumer Discretionary
436,TRGP,Targa Resources,Energy
437,TGT,Target Corporation,Consumer Staples
438,TEL,TE Connectivity,Information Technology
439,TDY,Teledyne Technologies,Information Technology
440,TFX,Teleflex,Health Care
441,TER,Teradyne,Information Technology
442,TSLA,"Tesla, Inc.",Consumer Discretionary
443,TXN,Texas Instruments,Information Technology
444,TPL,Texas Pacific Land Corporation,Energy
445,TXT,Textron,Industrials
446,TMO,Thermo Fisher Scientific,Health Care
447,TJX,TJX Companies,Consumer Discretionary
448,TSCO,Tractor Supply,Consumer Discretionary
449,TT,Trane Technologies,Industrials
450,TDG,TransDigm Group,Industrials
451,TRV,Travelers Companies (The),Financials
452,TRMB,Trimble Inc.,Information Technology
453,TFC,Truist Financial,Financials
454,TYL,Tyler Technologies,Information Technology
455,TSN,Tyson Foods,Consumer Staples
456,USB,U.S. Bancorp,Financials
457,UBER,Uber,Industrials
458,UDR,"UDR, Inc.",Real Estate
459,ULTA,Ulta Beauty,Consumer Discretionary
460,UNP,Union Pacific Corporation,Industrials
461,UAL,United Airlines Holdings,Industrials
462,UPS,United Parcel Service,Industrials
463,URI,United Rentals,Industrials
464,UNH,UnitedHealth Group,Health Care
465,UHS,Universal Health Services,Health Care
466,VLO,Valero Energy,Energy
467,VTR,Ventas,Real Estate
468,VLTO,Veralto,Industrials
469,VRSN,Verisign,Information Technology
470,VRSK,Verisk Analytics,Industrials
471,VZ,Verizon,Communication Services
472,VRTX,Vertex Pharmaceuticals,Health Care
473,VTRS,Viatris,Health Care
474,VICI,Vici Properties,Real Estate
475,V,Visa Inc.,Financials
476,VST,Vistra Corp.,Utilities
477,VMC,Vulcan Materials Company,Materials
478,WRB,W. R. Berkley Corporation,Financials
479,GWW,W. W. Grainger,Industrials
480,WAB,Wabtec,Industrials
481,WBA,Walgreens Boots Alliance,Consumer Staples
482,WMT,Walmart,Consumer Staples
483,DIS,Walt Disney Company (The),Communication Services
484,WBD,Warner Bros. Discovery,Communication Services
485,WM,Waste Management,Industrials
486,WAT,Waters Corporation,Health Care
487,WEC,WEC Energy Group,Utilities
488,WFC,Wells Fargo,Financials
489,WELL,Welltower,Real Estate
490,WST,West Pharmaceutical Services,Health Care
491,WDC,Western Digital,Information Technology
492,WY,Weyerhaeuser,Real Estate
493,WMB,Williams Companies,Energy
494,WTW,Willis Towers Watson,Financials
495,WDAY,"Workday, Inc.",Information Technology
496,WYNN,Wynn Resorts,Consumer Discretionary
497,XEL,Xcel Energy,Utilities
498,XYL,Xylem Inc.,Industrials
499,YUM,Yum! Brands,Consumer Discretionary
500,ZBRA,Zebra Technologies,Information Technology
501,ZBH,Zimmer Biomet,Health Care
502,ZTS,Zoetis,Health Care
